File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCoreTest\Source\Test\Memory\GarbageCollection.h,49,15,6,0,5,0,29,199,29,199
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCoreTest\Source\Test\Serialization\Serialization.cpp,328,225,196,12,54,0,49,226,29,199
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCoreTest\Source\Test\Serialization\Serialization.h,49,15,6,0,5,0,29,199,29,199
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCoreTest\Source\Test\SmartPointers\IntrusivePtr.cpp,193,121,77,11,30,1,42,231,29,199
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCoreTest\Source\Test\SmartPointers\SharedPtr.cpp,436,291,209,17,70,2,75,413,29,199
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCoreTest\Source\Test\SmartPointers\WeakPtr.cpp,308,208,153,4,55,3,45,252,29,199
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCoreTest\Source\Test\SmartPointers\IntrusivePtr.h,49,15,6,0,5,0,29,199,29,199
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCoreTest\Source\Test\SmartPointers\SharedPtr.h,49,15,6,0,5,0,29,199,29,199
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCoreTest\Source\Test\SmartPointers\WeakPtr.h,49,15,6,0,5,0,29,199,29,199
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCoreTest\Source\Test\Text\String.cpp,309,120,107,4,55,0,134,655,29,199
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCoreTest\Source\Test\Text\StringBuffer.cpp,315,157,144,4,31,0,127,579,29,199
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCoreTest\Source\Test\Text\String.h,49,15,6,0,5,0,29,199,29,199
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCoreTest\Source\Test\Text\StringBuffer.h,49,15,6,0,5,0,29,199,29,199
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCoreTest\Source\Test\Threads\Thread.cpp,185,96,74,13,36,1,53,255,29,199
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCoreTest\Source\Test\Threads\Thread.h,49,15,6,0,5,0,29,199,29,199
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCoreTest\Source\Test\Time\Time.cpp,105,48,35,5,22,0,35,207,29,199
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCoreTest\Source\Test\Time\Time.h,49,15,6,0,5,0,29,199,29,199
D:\Dropbox\E\Projects\e3project - VS2013\Code\eEngine\Build\resource.h,16,16,2,0,0,0,0,0,0,0
D:\Dropbox\E\Projects\e3project - VS2013\Code\eEngine\Include\EnginePch.h,113,58,3,2,14,0,41,220,29,208
D:\Dropbox\E\Projects\e3project - VS2013\Code\eEngine\Include\Graphics\Frustum.h,99,51,19,0,14,0,34,240,32,238
D:\Dropbox\E\Projects\e3project - VS2013\Code\eEngine\Include\Graphics\IConstantBuffer.h,68,27,13,0,9,0,32,206,26,199
D:\Dropbox\E\Projects\e3project - VS2013\Code\eEngine\Include\Graphics\IRenderManager.h,289,190,115,4,25,0,74,369,26,205
D:\Dropbox\E\Projects\e3project - VS2013\Code\eEngine\Include\Graphics\IResourceBuffer.h,64,20,10,0,10,0,34,213,26,204
D:\Dropbox\E\Projects\e3project - VS2013\Code\eEngine\Include\Graphics\Render.h,54,15,5,0,8,0,31,226,27,219
D:\Dropbox\E\Projects\e3project - VS2013\Code\eEngine\Include\Graphics\Vertex.h,296,211,153,18,26,0,59,232,26,199
D:\Dropbox\E\Projects\e3project - VS2013\Code\eEngine\Include\Graphics\Scene\CameraHandler.h,93,42,21,0,13,0,38,214,30,204
D:\Dropbox\E\Projects\e3project - VS2013\Code\eEngine\Include\Graphics\Scene\ICamera.h,87,43,25,0,10,0,34,213,27,205
D:\Dropbox\E\Projects\e3project - VS2013\Code\eEngine\Include\Graphics\Scene\ILight.h,62,20,8,0,8,0,34,212,27,205
D:\Dropbox\E\Projects\e3project - VS2013\Code\eEngine\Include\Graphics\Scene\ILightPoint.h,61,20,8,0,8,0,33,206,26,199
D:\Dropbox\E\Projects\e3project - VS2013\Code\eEngine\Include\Graphics\Scene\ILightSpot.h,62,21,9,0,8,0,33,206,26,199
D:\Dropbox\E\Projects\e3project - VS2013\Code\eEngine\Include\Graphics\Scene\ILogicComponent.h,80,29,15,0,11,0,40,229,27,213
D:\Dropbox\E\Projects\e3project - VS2013\Code\eEngine\Include\Graphics\Scene\IMaterial.h,95,49,24,0,12,0,34,213,27,205
D:\Dropbox\E\Projects\e3project - VS2013\Code\eEngine\Include\Graphics\Scene\IMesh.h,84,39,20,0,10,0,35,214,27,205
D:\Dropbox\E\Projects\e3project - VS2013\Code\eEngine\Include\Graphics\Scene\IObject.h,199,104,71,0,26,0,69,407,29,237
D:\Dropbox\E\Projects\e3project - VS2013\Code\eEngine\Include\Graphics\Scene\IRenderer.h,82,34,15,0,14,0,34,208,26,199
D:\Dropbox\E\Projects\e3project - VS2013\Code\eEngine\Include\Graphics\Scene\ISceneManager.h,106,50,26,0,12,0,44,298,27,211
D:\Dropbox\E\Projects\e3project - VS2013\Code\eEngine\Include\Graphics\Scene\IShadowComponent.h,62,19,7,0,8,0,35,229,27,208
D:\Dropbox\E\Projects\e3project - VS2013\Code\eEngine\Include\Graphics\Scene\IView.h,84,35,19,0,12,0,37,211,26,199
